iter	Passed	Remaining
0	138	138175
1	140	69940
2	141	47114
3	143	35684
4	144	28853
5	147	24393
6	149	21142
7	150	18674
8	152	16758
9	153	15221
10	155	13972
11	157	12929
12	158	12043
13	187	13222
14	189	12439
15	191	11764
16	192	11153
17	194	10609
18	196	10139
19	198	9706
20	199	9309
21	201	8953
22	203	8628
23	204	8328
24	206	8049
25	208	7797
26	209	7556
27	211	7333
28	212	7124
29	217	7047
30	219	6866
31	221	6695
32	222	6532
33	224	6380
34	227	6258
35	228	6121
36	229	5980
37	230	5847
38	232	5726
39	233	5605
40	234	5489
41	235	5380
42	237	5275
43	238	5178
44	239	5083
45	240	4993
46	242	4912
47	243	4831
48	244	4750
49	246	4681
50	247	4614
51	250	4569
52	252	4515
53	254	4459
54	257	4419
55	258	4362
56	260	4302
57	261	4241
58	262	4182
59	263	4124
60	264	4068
61	265	4017
62	266	3968
63	267	3917
64	268	3868
65	269	3820
66	271	3775
67	271	3723
68	272	3680
69	273	3637
70	274	3595
71	275	3555
72	276	3515
73	277	3477
74	278	3440
75	280	3408
76	281	3377
77	283	3347
78	284	3315
79	285	3285
80	286	3253
81	287	3222
82	288	3191
83	289	3161
84	290	3128
85	291	3100
86	292	3068
87	293	3041
88	294	3015
89	295	2989
90	296	2963
91	297	2938
92	298	2914
93	300	2893
94	301	2869
95	302	2846
96	303	2824
97	304	2802
98	305	2781
99	306	2760
100	307	2739
101	308	2718
102	310	2699
103	311	2681
104	312	2662
105	313	2642
106	314	2623
107	315	2605
108	316	2587
109	317	2569
110	318	2552
111	319	2534
112	320	2517
113	321	2500
114	322	2484
115	323	2467
116	324	2451
117	325	2435
118	326	2417
119	327	2401
120	328	2386
121	329	2372
122	330	2354
123	331	2339
124	332	2325
125	333	2311
126	334	2297
127	334	2281
128	336	2268
129	337	2256
130	338	2245
131	339	2233
132	341	2223
133	342	2213
134	343	2202
135	345	2192
136	346	2182
137	347	2171
138	348	2160
139	350	2150
140	351	2140
141	352	2129
142	353	2119
143	354	2109
144	355	2098
145	357	2088
146	358	2078
147	359	2070
148	360	2059
149	361	2049
150	362	2039
151	363	2028
152	364	2019
153	365	2009
154	366	1999
155	367	1990
156	368	1980
157	369	1971
158	370	1961
159	371	1952
160	372	1943
161	374	1935
162	375	1926
163	376	1918
164	377	1909
165	378	1901
166	379	1892
167	380	1884
168	381	1875
169	382	1867
170	383	1859
171	384	1851
172	385	1843
173	386	1835
174	387	1827
175	388	1820
176	389	1812
177	390	1805
178	391	1797
179	392	1789
180	393	1780
181	394	1772
182	395	1765
183	396	1758
184	397	1750
185	398	1743
186	399	1736
187	400	1729
188	401	1722
189	402	1715
190	403	1708
191	404	1702
192	405	1695
193	406	1688
194	407	1682
195	408	1675
196	409	1669
197	410	1662
198	411	1656
199	412	1649
200	413	1643
201	414	1636
202	415	1630
203	416	1624
204	417	1618
205	418	1611
206	419	1606
207	420	1600
208	421	1594
209	422	1588
210	423	1582
211	424	1576
212	425	1570
213	426	1564
214	427	1559
215	428	1553
216	429	1548
217	430	1542
218	431	1537
219	432	1531
220	432	1526
221	434	1521
222	435	1515
223	436	1510
224	436	1505
225	437	1499
226	438	1494
227	439	1489
228	440	1484
229	441	1479
230	442	1474
231	443	1469
232	444	1464
233	445	1459
234	447	1455
235	447	1450
236	449	1445
237	450	1440
238	451	1436
239	451	1431
240	452	1426
241	453	1421
242	454	1416
243	455	1412
244	456	1407
245	457	1403
246	458	1398
247	459	1394
248	460	1389
249	461	1384
250	462	1380
251	463	1376
252	464	1371
253	465	1367
254	466	1362
255	467	1358
256	468	1354
257	469	1350
258	470	1345
259	471	1341
260	472	1337
261	473	1333
262	474	1329
263	475	1325
264	476	1322
265	478	1319
266	479	1315
267	480	1311
268	481	1307
269	482	1304
270	483	1301
271	484	1297
272	485	1294
273	487	1290
274	488	1287
275	489	1284
276	490	1280
277	491	1277
278	493	1274
279	494	1271
280	496	1269
281	497	1266
282	498	1262
283	499	1259
284	500	1255
285	501	1251
286	502	1247
287	503	1244
288	504	1241
289	505	1237
290	506	1234
291	507	1231
292	508	1228
293	510	1225
294	511	1221
295	512	1218
296	513	1215
297	514	1211
298	515	1208
299	516	1205
300	517	1201
301	518	1198
302	519	1195
303	521	1193
304	522	1190
305	523	1187
306	524	1184
307	526	1182
308	527	1179
309	528	1176
310	529	1174
311	531	1171
312	532	1169
313	533	1166
314	534	1163
315	535	1160
316	537	1157
317	538	1154
318	539	1151
319	540	1149
320	541	1146
321	542	1143
322	543	1140
323	545	1137
324	546	1134
325	547	1131
326	548	1128
327	549	1126
328	551	1123
329	552	1121
330	553	1119
331	555	1116
332	556	1113
333	557	1110
334	558	1107
335	559	1104
336	560	1101
337	561	1099
338	562	1096
339	563	1093
340	564	1090
341	565	1087
342	566	1085
343	568	1083
344	569	1080
345	570	1077
346	571	1075
347	572	1072
348	573	1069
349	574	1066
350	575	1063
351	576	1061
352	577	1058
353	578	1055
354	579	1052
355	580	1050
356	582	1048
357	583	1046
358	584	1043
359	585	1040
360	586	1038
361	587	1035
362	588	1032
363	589	1030
364	590	1027
365	591	1024
366	592	1022
367	593	1019
368	595	1017
369	596	1015
370	597	1013
371	598	1010
372	599	1008
373	600	1005
374	601	1003
375	602	1000
376	603	998
377	605	995
378	606	993
379	607	990
380	608	987
381	608	985
382	610	983
383	612	981
384	613	979
385	614	977
386	615	974
387	616	972
388	617	969
389	618	967
390	619	964
391	620	962
392	621	959
393	622	957
394	623	955
395	624	952
396	625	950
397	626	948
398	627	945
399	628	943
400	629	940
401	630	938
402	631	936
403	632	933
404	633	931
405	634	928
406	635	926
407	636	924
408	637	921
409	638	919
410	639	916
411	640	914
412	641	912
413	642	909
414	643	907
415	644	905
416	645	902
417	646	900
418	647	898
419	648	895
420	649	893
421	650	891
422	651	889
423	652	886
424	653	884
425	654	882
426	655	880
427	656	877
428	657	875
429	658	873
430	659	871
431	660	868
432	661	866
433	662	864
434	663	862
435	664	859
436	665	857
437	666	855
438	667	853
439	668	851
440	669	848
441	670	846
442	671	844
443	672	842
444	673	840
445	674	838
446	675	835
447	676	833
448	677	831
449	678	829
450	679	827
451	680	825
452	681	823
453	682	820
454	683	818
455	684	816
456	685	814
457	686	812
458	687	810
459	688	808
460	689	806
461	690	804
462	691	801
463	692	799
464	693	797
465	694	795
466	695	793
467	696	791
468	697	789
469	698	787
470	699	785
471	700	783
472	701	781
473	702	779
474	703	777
475	704	775
476	705	773
477	707	772
478	708	770
479	709	768
480	710	766
481	711	764
482	712	762
483	713	760
484	714	758
485	715	756
486	716	754
487	717	752
488	718	750
489	719	748
490	720	746
491	721	744
492	722	742
493	723	740
494	724	738
495	725	736
496	726	735
497	727	733
498	728	731
499	729	729
500	730	727
501	731	725
502	732	723
503	733	721
504	734	719
505	735	717
506	736	715
507	737	713
508	738	712
509	739	710
510	740	708
511	741	706
512	742	704
513	743	702
514	744	700
515	745	698
516	746	697
517	747	695
518	748	693
519	749	691
520	750	689
521	751	687
522	752	685
523	752	684
524	753	682
525	755	680
526	756	678
527	757	676
528	758	674
529	758	673
530	759	671
531	760	669
532	761	667
533	762	665
534	763	664
535	764	662
536	765	660
537	766	658
538	767	656
539	768	654
540	769	653
541	770	651
542	771	649
543	772	647
544	773	645
545	774	644
546	775	642
547	776	640
548	777	639
549	778	637
550	779	635
551	780	633
552	781	632
553	782	630
554	784	628
555	785	626
556	786	625
557	786	623
558	787	621
559	788	619
560	789	618
561	790	616
562	791	614
563	792	612
564	793	611
565	794	609
566	795	607
567	796	605
568	797	604
569	798	602
570	799	600
571	800	599
572	801	597
573	802	595
574	803	593
575	804	592
576	805	590
577	806	588
578	807	587
579	808	585
580	809	583
581	810	582
582	811	580
583	812	578
584	813	576
585	814	575
586	815	573
587	816	571
588	817	570
589	818	568
590	819	566
591	820	565
592	821	563
593	822	561
594	823	560
595	824	558
596	825	556
597	826	555
598	827	553
599	828	552
600	828	550
601	829	548
602	830	547
603	831	545
604	832	543
605	833	542
606	834	540
607	835	538
608	836	537
609	837	535
610	838	534
611	839	532
612	840	530
613	841	529
614	842	527
615	843	525
616	844	524
617	845	522
618	846	521
619	847	519
620	848	518
621	849	516
622	851	514
623	852	513
624	852	511
625	853	510
626	854	508
627	855	506
628	856	505
629	857	503
630	858	502
631	859	500
632	860	498
633	861	497
634	862	495
635	863	494
636	864	492
637	865	491
638	866	489
639	867	487
640	868	486
641	869	484
642	870	483
643	871	481
644	872	479
645	873	478
646	874	476
647	874	475
648	875	473
649	876	472
650	877	470
651	878	469
652	879	467
653	880	466
654	882	464
655	883	463
656	884	461
657	885	460
658	886	458
659	887	456
660	887	455
661	888	453
662	889	452
663	890	450
664	891	449
665	892	447
666	893	446
667	894	444
668	895	443
669	896	441
670	897	440
671	898	438
672	899	437
673	901	435
674	902	434
675	903	432
676	903	431
677	904	429
678	905	428
679	906	426
680	907	425
681	908	423
682	909	422
683	910	420
684	911	419
685	912	417
686	913	416
687	914	414
688	915	413
689	916	411
690	917	410
691	918	408
692	919	407
693	920	406
694	921	404
695	922	403
696	923	401
697	924	400
698	925	398
699	926	397
700	927	395
701	928	394
702	929	392
703	930	391
704	931	389
705	932	388
706	933	386
707	934	385
708	935	383
709	936	382
710	937	381
711	938	379
712	939	378
713	940	376
714	941	375
715	942	373
716	943	372
717	944	370
718	945	369
719	946	368
720	947	366
721	948	365
722	949	363
723	950	362
724	951	361
725	953	359
726	954	358
727	955	356
728	956	355
729	957	354
730	958	352
731	959	351
732	960	349
733	961	348
734	962	346
735	963	345
736	964	344
737	965	342
738	966	341
739	967	339
740	968	338
741	969	336
742	970	335
743	971	334
744	972	332
745	973	331
